season,date,sourceTeam,destTeam,marketValue,price
16/17,2017-01-04,Krasnodar,Legia Warszawa,4000000,900000
15/16,2016-06-30,Legia Warszawa,Krasnodar,2700000,End of loan
15/16,2016-01-01,Krasnodar,Legia Warszawa,3500000,loan transfer
13/14,2013-07-01,Legia Warszawa,Krasnodar,2000000,2200000
09/10,2010-06-30,Korona Kielce,Legia Warszawa,175000,End of loan
09/10,2010-01-07,Legia Warszawa,Korona Kielce,175000,Loan
08/09,2009-06-30,Dolcan Zabki,Legia Warszawa,175000,End of loan
08/09,2008-07-23,Legia Warszawa,Dolcan Zabki,50000,loan transfer
07/08,2008-06-30,GKS Jastrzebie,Legia Warszawa,50000,End of loan
07/08,2007-07-14,Legia Warszawa,GKS Jastrzebie,50000,loan transfer
06/07,2006-07-01,Igloopol Debica,Legia Warszawa,0,0
