season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-08-27,NK Osijek,Widzew Lodz,400000,0
20/21,2021-01-18,Without Club,NK Osijek,300000,0
19/20,2020-07-19,Desportivo Aves,Without Club,400000,0
18/19,2018-08-31,Benfica,Desportivo Aves,350000,0
17/18,2018-06-30,Lechia Gdansk,Benfica,400000,End of loan
17/18,2017-08-31,Benfica,Lechia Gdansk,400000,loan transfer
17/18,2017-08-21,NK Istra,Benfica,400000,400000
16/17,2017-02-13,HNK Rijeka,NK Istra,400000,0
16/17,2016-12-31,NK Istra,HNK Rijeka,400000,End of loan
16/17,2016-08-31,HNK Rijeka,NK Istra,500000,loan transfer
15/16,2016-06-30,Perugia,HNK Rijeka,500000,End of loan
15/16,2016-01-18,HNK Rijeka,Perugia,500000,loan transfer
15/16,2016-01-17,Spezia Calcio,HNK Rijeka,500000,End of loan
14/15,2014-08-20,HNK Rijeka,Spezia Calcio,400000,loan transfer
13/14,2014-06-30,Siena,HNK Rijeka,450000,End of loan
13/14,2013-08-21,HNK Rijeka,Siena,150000,loan transfer
12/13,2013-06-30,Cibalia,HNK Rijeka,150000,End of loan
12/13,2013-02-08,HNK Rijeka,Cibalia,150000,loan transfer
11/12,2011-07-01,HNK Rijeka U19,HNK Rijeka,0,0
10/11,2010-07-01,HNK Rijeka U17,HNK Rijeka U19,0,0
08/09,2008-07-01,HNK Rijeka Jgd,HNK Rijeka U17,0,0
07/08,2007-08-31,Jadran Porec,HNK Rijeka Jgd,0,0
