id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
58949,yevgen,konoplyanka,21/22,2022-02-11,Shakhtar D.,Cracovia,1500000,free transfer
58949,yevgen,konoplyanka,19/20,2019-09-02,FC Schalke 04,Shakhtar D.,6500000,1800000
58949,yevgen,konoplyanka,17/18,2017-07-01,Sevilla FC,FC Schalke 04,10000000,12500000
58949,yevgen,konoplyanka,16/17,2017-06-30,FC Schalke 04,Sevilla FC,10000000,End of loan
58949,yevgen,konoplyanka,16/17,2016-08-30,Sevilla FC,FC Schalke 04,25000000,loan transfer
58949,yevgen,konoplyanka,15/16,2015-07-09,Dnipro,Sevilla FC,20000000,free transfer
58949,yevgen,konoplyanka,08/09,2008-07-01,Dnipro II,Dnipro,150000,0
58949,yevgen,konoplyanka,06/07,2006-07-01,Dnipro U17,Dnipro II,0,0
