season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-01,FC Winterthur,Radomiak,450000,free transfer
19/20,2020-01-03,Grasshoppers,FC Winterthur,500000,?
18/19,2019-06-30,FC Winterthur,Grasshoppers,500000,End of loan
18/19,2018-07-01,Grasshoppers,FC Winterthur,250000,loan transfer
17/18,2018-06-30,FC Wil 1900,Grasshoppers,250000,End of loan
17/18,2018-01-02,Grasshoppers,FC Wil 1900,100000,loan transfer
17/18,2018-01-01,GC Zürich U21,Grasshoppers,100000,-
17/18,2017-12-31,FC Wil 1900,GC Zürich U21,100000,End of loan
17/18,2017-10-25,GC Zürich U21,FC Wil 1900,100000,loan transfer
14/15,2015-01-01,GC Zürich U18,GC Zürich U21,-,-
13/14,2013-07-01,GC Zürich U16,GC Zürich U18,-,-
