season,date,sourceTeam,destTeam,marketValue,price
22/23,2023-06-30,Lech Poznan,Dynamo Kyiv,800000,End of loan
22/23,2022-07-01,Dynamo Kyiv,Lech Poznan,1000000,Loan
21/22,2022-06-30,Wisla Kraków,Dynamo Kyiv,1000000,End of loan
21/22,2022-04-06,Dynamo Kyiv,Wisla Kraków,1000000,loan transfer
21/22,2022-04-05,Chornomorets,Dynamo Kyiv,1000000,End of loan
21/22,2021-07-21,Dynamo Kyiv,Chornomorets,1200000,loan transfer
20/21,2021-06-30,Vorskla Poltava,Dynamo Kyiv,1200000,End of loan
20/21,2021-01-01,Dynamo Kyiv,Vorskla Poltava,1500000,loan transfer
19/20,2019-07-01,Dynamo Kyiv II,Dynamo Kyiv,1000000,0
17/18,2017-07-01,Dynamo Kyiv U19,Dynamo Kyiv II,0,0
16/17,2017-01-01,Dynamo Kyiv U17,Dynamo Kyiv U19,0,0
11/12,2011-07-01,Anorthosis U21,Dynamo Kyiv U17,0,0
