season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-01,B SAD,Lech Poznan,2500000,1200000
20/21,2020-09-09,FC Porto B,B SAD,525000,free transfer
19/20,2019-07-01,FC Porto U19,FC Porto B,-,-
17/18,2017-07-01,FC Porto U17,FC Porto U19,-,-
15/16,2015-07-01,FC Porto U15,FC Porto U17,-,-
13/14,2013-07-01,Gafanha Yth.,FC Porto U15,-,?
12/13,2012-07-01,Beira-Mar Yth.,Gafanha Yth.,-,?
10/11,2010-07-01,FC Porto Youth,Beira-Mar Yth.,-,?
09/10,2009-07-01,Beira-Mar Yth.,FC Porto Youth,-,?
