season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-08-30,Slo. Bratislava,Lechia Gdansk,475000,?
21/22,2022-06-30,Sparta R.,Slo. Bratislava,475000,End of loan
21/22,2022-01-20,Slo. Bratislava,Sparta R.,475000,loan transfer
15/16,2016-01-08,NAC Breda,Slo. Bratislava,350000,free transfer
14/15,2014-07-01,Ajax U21,NAC Breda,300000,free transfer
13/14,2014-06-30,Heerenveen,Ajax U21,300000,End of loan
13/14,2013-09-02,Ajax U21,Heerenveen,75000,loan transfer
11/12,2011-07-01,Ajax U19,Ajax U21,-,-
10/11,2010-07-01,Ajax U18,Ajax U19,-,-
09/10,2009-07-01,Ajax U17,Ajax U18,-,-
08/09,2008-07-01,Ajax Youth,Ajax U17,-,-
00/01,2000-07-01,Diemen Youth,Ajax Youth,-,free transfer
