season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-27,Rakow,Warta Poznan,700000,free transfer
21/22,2022-06-30,Warta Poznan,Rakow,700000,End of loan
21/22,2022-02-08,Rakow,Warta Poznan,600000,loan transfer
21/22,2021-08-27,Vit. Guimarães,Rakow,800000,?
20/21,2020-10-06,Sporting CP,Vit. Guimarães,2000000,free transfer
18/19,2018-11-01,Sporting CP U23,Sporting CP,400000,-
18/19,2018-07-01,Sporting B,Sporting CP U23,400000,-
17/18,2017-07-01,Sporting U19,Sporting B,-,-
16/17,2016-07-01,Sporting U17,Sporting U19,-,-
14/15,2014-07-01,Sporting Sub-15,Sporting U17,-,-
12/13,2012-07-01,Sporting Yth.,Sporting Sub-15,-,-
09/10,2009-07-01,Académica Y,Sporting Yth.,-,?
