season,date,sourceTeam,destTeam,marketValue,price
22/23,2023-01-26,Tuzlaspor,Warta Poznan,250000,free transfer
22/23,2022-07-19,Wisla Kraków,Tuzlaspor,400000,free transfer
20/21,2020-08-06,NK Olimpija,Wisla Kraków,800000,free transfer
17/18,2017-07-11,Roda JC,NK Olimpija,300000,0
16/17,2017-01-27,Slaven Belupo,Roda JC,500000,350000
15/16,2015-07-03,LASK,Slaven Belupo,200000,free transfer
14/15,2015-01-01,FC Liefering,LASK,200000,0
13/14,2014-01-20,Without Club,FC Liefering,200000,0
13/14,2013-07-01,RB Salzburg,Without Club,200000,0
12/13,2013-06-30,FC Liefering,RB Salzburg,200000,End of loan
12/13,2012-08-29,RB Salzburg,FC Liefering,200000,loan transfer
12/13,2012-07-01,RB Juniors,RB Salzburg,100000,0
10/11,2011-01-01,AKA Salzb. U18,RB Juniors,0,0
09/10,2009-07-01,AKA Salzb. U15,Salzburg U19,0,0
08/09,2008-07-01,Salzburg Youth,AKA Salzb. U15,0,0
05/06,2005-09-02,Liefering Yth.,Salzburg Youth,0,0
