season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-01,Chrobry Glogow,Slask Wroclaw,300000,free transfer
21/22,2021-10-01,Without Club,Chrobry Glogow,250000,0
21/22,2021-07-01,Podbeskidzie,Without Club,250000,0
18/19,2018-07-02,Bytovia Bytow,Podbeskidzie,75000,free transfer
15/16,2016-02-11,Ruch Chorzow,Bytovia Bytow,150000,free transfer
14/15,2015-06-30,Arka Gdynia,Ruch Chorzow,150000,End of loan
14/15,2015-02-04,Ruch Chorzow,Arka Gdynia,200000,loan transfer
14/15,2014-07-01,Arka Gdynia,Ruch Chorzow,175000,free transfer
12/13,2012-07-01,Legia II,Arka Gdynia,0,free transfer
11/12,2011-07-01,Legia U19,Legia II,0,0
09/10,2009-07-01,S. Szczecin U19,Legia U19,0,0
