season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-09-02,Pordenone,Jagiellonia,300000,free transfer
21/22,2022-06-30,Reggina,Pordenone,300000,End of loan
21/22,2022-01-31,Pordenone,Reggina,300000,loan transfer
21/22,2021-07-21,Salernitana,Pordenone,400000,0
21/22,2021-07-01,Bari,Salernitana,400000,0
20/21,2021-06-30,Salernitana,Bari,400000,End of loan
20/21,2020-09-15,Bari,Salernitana,400000,loan transfer
19/20,2020-08-31,Trapani,Bari,400000,End of loan
19/20,2020-01-24,Bari,Trapani,425000,loan transfer
19/20,2019-07-08,Ascoli,Bari,500000,0
18/19,2019-06-30,AS Livorno,Ascoli,500000,End of loan
18/19,2019-01-22,Ascoli,AS Livorno,600000,loan transfer
18/19,2018-07-21,RC Cesena,Ascoli,700000,free transfer
17/18,2017-07-01,Chievo Verona,Cesena,700000,free transfer
16/17,2017-06-30,Novara,Chievo Verona,700000,End of loan
16/17,2016-07-05,Chievo Verona,Novara,1000000,loan transfer
15/16,2016-06-30,Brescia,Chievo Verona,1000000,End of loan
15/16,2015-07-11,Chievo Verona,Brescia,600000,loan transfer
14/15,2015-06-30,Cittadella,Chievo Verona,600000,End of loan
14/15,2015-01-07,Chievo Verona,Cittadella,400000,loan transfer
13/14,2013-09-02,Jagiellonia,Chievo Verona,750000,500000
10/11,2010-07-01,Wigan,Jagiellonia,250000,free transfer
06/07,2006-07-01,MKS Piaseczno,Wigan,0,free transfer
