season,date,sourceTeam,destTeam,marketValue,price
21/22,2021-07-10,Leeds,Lech Poznan,1500000,free transfer
20/21,2021-05-31,Blackburn,Leeds,1800000,End of loan
20/21,2020-10-16,Leeds,Blackburn,2000000,loan transfer
18/19,2018-07-28,Wolves,Leeds,2000000,3400000
17/18,2017-07-01,Konyaspor,Wolves,1500000,1140000
15/16,2016-01-21,Lech Poznan,Konyaspor,750000,200000
13/14,2013-07-01,Dundee United,Lech Poznan,300000,free transfer
10/11,2010-07-01,Queen's Park,Dundee United,0,free transfer
08/09,2008-07-01,Queen's P. U20,Queen's Park,0,0
06/07,2006-07-01,Livingston FC U17,Queen's P. U20,0,free transfer
