season,date,sourceTeam,destTeam,marketValue,price
21/22,2021-07-01,Legia Warszawa,Piast Gliwice,150000,25000
19/20,2020-05-25,Legia II,Legia Warszawa,-,-
19/20,2019-07-01,Legia U19,Legia II,-,-
18/19,2019-01-01,Legia Yth.,Legia U19,-,-
18/19,2018-07-01,Unia W-wa U19,Legia Yth.,-,free transfer
