id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
795548,filip,gryglak,21/22,2021-12-17,Sl. Wroclaw II,Slask Wroclaw,0,0
795548,filip,gryglak,20/21,2021-02-24,Slask U19,Sl. Wroclaw II,0,0
