season,date,sourceTeam,destTeam,marketValue,price
21/22,2022-01-27,FC Botosani,Rakow,650000,600000
20/21,2021-02-06,Dijon FCO B,FC Botosani,25000,free transfer
20/21,2020-07-01,Dijon U19,Dijon FCO B,-,-
