season,date,sourceTeam,destTeam,marketValue,price
21/22,2021-07-01,FC Emmen,Wisla Plock,325000,free transfer
19/20,2019-07-01,Wisla Kraków,FC Emmen,300000,500000
17/18,2017-09-05,NK Lokomotiva,Wisla Kraków,600000,free transfer
16/17,2017-06-30,Inter Zapresic,NK Lokomotiva,600000,End of loan
16/17,2016-07-01,NK Lokomotiva,Inter Zapresic,500000,loan transfer
15/16,2015-08-24,Dinamo Zagreb,NK Lokomotiva,600000,0
15/16,2015-08-23,NK Lokomotiva,Dinamo Zagreb,600000,End of loan
14/15,2014-07-11,Dinamo Zagreb,NK Lokomotiva,100000,loan transfer
13/14,2014-06-30,NK Sesvete,Dinamo Zagreb,100000,End of loan
13/14,2013-08-31,Dinamo Zagreb,NK Sesvete,100000,loan transfer
12/13,2013-01-07,Din. Zagreb U19,Dinamo Zagreb,0,0
12/13,2012-07-01,Din. Zagreb U17,Din. Zagreb U19,0,0
10/11,2010-07-01,D. Zagreb Yth.,Din. Zagreb U17,0,0
