season,date,sourceTeam,destTeam,marketValue,price
22/23,2023-02-02,Sparta Prague,Jagiellonia,1500000,0
16/17,2016-07-01,Sparta Prague B,Sparta Prague,0,0
15/16,2015-07-01,Sp. Prague U19,Sparta Prague B,0,0
Total transfer fees:,0,Youth clubs,FC Hustopeče (2003 - 2007),MSK Břeclav (2007),TJ Tatran Bohunice (2008 - 2011)
