season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-08,FC Ingolstadt,Górnik Zabrze,150000,free transfer
18/19,2019-01-01,Ingolstadt II,FC Ingolstadt,150000,0
17/18,2017-07-04,SC Teutonia,Ingolstadt II,150000,free transfer
16/17,2016-08-08,VfR Aalen,SC Teutonia,250000,free transfer
15/16,2016-01-21,Wehen Wiesbaden,VfR Aalen,200000,free transfer
14/15,2014-07-01,Jahn Regensburg,Wehen Wiesbaden,400000,free transfer
12/13,2012-07-01,1860 Munich,Jahn Regensburg,200000,free transfer
11/12,2011-07-01,Nuremberg II,1860 Munich,125000,free transfer
10/11,2010-07-01,1.FC Nuremberg,Nuremberg II,100000,0
09/10,2009-07-01,Nuremberg II,1.FC Nuremberg,100000,0
08/09,2008-07-01,Nürnberg U19,Nuremberg II,0,0
