429070,vladan,kovacevic,1998,Bosnia,"1,92",Goalkeeper
720120,kacper,trelowski,2003,Poland,"1,93",Goalkeeper
318257,stratos,svarnas,1997,Greece,"1,86",Centre-Back
280312,zoran,arsenic,1994,Croatia,"1,88",Centre-Back
388944,adrian,gryszkiewicz,1999,Poland,"1,85",Centre-Back
804134,bogdan,racovitan,2000,Romania,"1,87",Centre-Back
333261,tomas,petrasek,1992,Czech,"1,99",Centre-Back
182185,milan,rundic,1992,Serbia,"1,88",Centre-Back
448058,giannis,papanikolaou,1998,Greece,"1,82",Defensive Midfield
366929,ben,lederman,2000,Poland,"1,78",Central Midfield
258007,gustav,berggren,1997,Sweden,"1,87",Central Midfield
407094,szymon,czyz,2001,Poland,"1,76",Central Midfield
343158,fran,tudor,1995,Croatia,"1,73",Right Midfield
453156,wiktor,dlugosz,2000,Poland,"1,83",Right Midfield
252608,patryk,kun,1995,Poland,"1,65",Left Midfield
282434,jean,carlos,1996,Spain,"1,85",Left Midfield
282371,ivi,lopez,1994,Spain,"1,74",Attacking Midfield
261085,bartosz,nowak,1993,Poland,"1,80",Attacking Midfield
248932,vladyslav,kochergin,1996,Ukraine,"1,78",Attacking Midfield
295495,mateusz,wdowiak,1996,Poland,"1,74",Attacking Midfield
239215,marcin,cebula,1995,Poland,"1,77",Attacking Midfield
192710,vladislavs,gutkovskis,1995,Latvia,"1,87",Centre-Forward
255401,fabian,piasecki,1995,Poland,"1,86",Centre-Forward
267152,sebastian,musiolik,1996,Poland,"1,93",Centre-Forward
699400,xavier,dziekonski,2003,Poland,"1,88",Goalkeeper
379209,deian,sorescu,1997,Romania,"1,75",Right Midfield
357161,miguel,luis,1999,Portugal,"1,78",Attacking Midfield
555056,iwo,kaczmarski,2004,Poland,"1,83",Central Midfield
194641,fabio,sturgeon,1994,Portugal,"1,83",Attacking Midfield
155158,filip,bednarek,1992,Poland,"1,88",Goalkeeper
181611,dominik,holec,1994,Slovakia,"1,91",Goalkeeper
129646,artur,rudko,1992,Ukraine,"1,90",Goalkeeper
179896,antonio,milic,1994,Croatia,"1,90",Centre-Back
270905,filip,dagerstal,1997,Sweden,"1,89",Centre-Back
168408,lubomir,satka,1995,Slovakia,"1,88",Centre-Back
71019,bartosz,salamon,1991,Poland,"1,94",Centre-Back
197860,pedro,rebocho,1995,Portugal,"1,71",Left-Back
91854,barry,douglas,1989,Scotland,"1,76",Left-Back
225165,joel,pereira,1996,Portugal,"1,78",Right-Back
470375,mateusz,zukowski,2001,Poland,"1,85",Right-Back
240756,alan,czerwinski,1993,Poland,"1,81",Right-Back
222855,jesper,karlstrom,1995,Sweden,"1,85",Defensive Midfield
150850,nika,kvekveskiri,1992,Georgia,"1,86",Defensive Midfield
555057,antoni,kozubal,2004,Poland,"1,77",Defensive Midfield
220969,radoslaw,murawski,1994,Poland,"1,73",Central Midfield
375378,afonso,sousa,2000,Portugal,"1,74",Attacking Midfield
352898,joao,amaral,1991,Portugal,"1,72",Attacking Midfield
555106,filip,marchwinski,2002,Poland,"1,87",Attacking Midfield
821358,maksym,czekala,2004,Poland,"1,83",Attacking Midfield
393565,michal,skoras,2000,Poland,"1,72",Left Winger
499859,kristoffer,velde,1999,Norway,"1,79",Left Winger
631442,jakub,antczak,2004,Poland,"1,68",Left Winger
419067,georgiy,tsitaishvili,2000,Georgia,"1,71",Right Winger
364314,adriel,ba,1996,Cote,"1,70",Right Winger
153637,mikael,ishak,1993,Sweden,"1,85",Centre-Forward
554972,filip,szymczak,2002,Poland,"1,87",Centre-Forward
75640,artur,sobiech,1990,Poland,"1,84",Centre-Forward
661404,norbert,paclawski,2004,Poland,"1,80",Centre-Forward
407098,jakub,kaminski,2002,Poland,"1,79",Left Winger
187490,jan,sykora,1993,Czech,"1,71",Left Winger
246309,dani,ramirez,1992,Spain,"1,75",Attacking Midfield
167165,pedro,tiba,1988,Portugal,"1,74",Central Midfield
388042,karlo,muhar,1996,Croatia,"1,90",Defensive Midfield
658111,kacper,tobiasz,2002,Poland,"1,91",Goalkeeper
487167,cezary,miszta,2001,Poland,"1,92",Goalkeeper
278676,dominik,hladun,1995,Poland,"1,90",Goalkeeper
592532,jakub,trojanowski,2001,Poland,"1,90",Goalkeeper
407745,maik,nawrocki,2001,Poland,"1,90",Centre-Back
264796,rafal,augustyniak,1993,Poland,"1,85",Centre-Back
135490,lindsay,rose,1992,Mauritius,"1,84",Centre-Back
258032,yuri,ribeiro,1997,Portugal,"1,75",Centre-Back
42401,artur,jedrzejczyk,1987,Poland,"1,89",Centre-Back
1046867,jan,ziolkowski,2005,Poland,"1,94",Centre-Back
