season,date,sourceTeam,destTeam,marketValue,price
22/23,2023-01-24,Without Club,Radomiak,300000,0
21/22,2022-02-12,Ascoli,Without Club,350000,0
20/21,2021-06-30,VVV-Venlo,Ascoli,600000,End of loan
20/21,2021-01-21,Ascoli,VVV-Venlo,750000,loan transfer
20/21,2020-09-14,Panathinaikos,Ascoli,750000,free transfer
16/17,2017-06-30,Iraklis,Panathinaikos,500000,End of loan
16/17,2017-01-20,Panathinaikos,Iraklis,450000,loan transfer
16/17,2017-01-13,PAS Giannina,Panathinaikos,450000,End of loan
16/17,2016-07-01,Panathinaikos,PAS Giannina,600000,loan transfer
15/16,2016-06-30,FC Lugano,Panathinaikos,600000,End of loan
15/16,2016-02-15,Panathinaikos,FC Lugano,600000,loan transfer
12/13,2012-07-01,PAO U20,Panathinaikos,0,0
