season,date,sourceTeam,destTeam,marketValue,price
19/20,2020-02-10,HNK Gorica,Lechia Gdansk,1000000,350000
18/19,2018-07-01,Pogon Szczecin,HNK Gorica,250000,free transfer
16/17,2017-06-30,Slask Wroclaw,Pogon Szczecin,500000,End of loan
16/17,2017-02-23,Pogon Szczecin,Slask Wroclaw,500000,loan transfer
13/14,2014-06-30,Gornik Leczna,Pogon Szczecin,175000,End of loan
13/14,2013-08-02,Pogon Szczecin,Gornik Leczna,100000,loan transfer
12/13,2013-06-30,Arka Gdynia,Pogon Szczecin,100000,End of loan
12/13,2013-01-08,Pogon Szczecin,Arka Gdynia,75000,loan transfer
11/12,2012-01-01,Pogon II,Pogon Szczecin,0,0
10/11,2011-01-01,Pogon U19,Pogon II,0,0
