id,name,season,competition,gamesPlayed,goals,minutes
837346,hubert-szulc,22/23,3 Liga - Grupa IV,13,4,681
837346,hubert-szulc,22/23,Ekstraklasa,0,0,0
837346,hubert-szulc,22/23,Fortuna Puchar Polski,0,0,0
837346,hubert-szulc,21/22,CLJ,24,6,944
837346,hubert-szulc,21/22,eWinner 2 liga,1,0,14
837346,hubert-szulc,20/21,CLJ,16,1,399
