season,date,sourceTeam,destTeam,marketValue,price
22/23,2023-01-07,Korona Kielce,ND Gorica,200000,free transfer
22/23,2022-12-31,ND Gorica,Korona Kielce,200000,End of loan
22/23,2022-08-12,Korona Kielce,ND Gorica,200000,loan transfer
20/21,2020-08-13,Korona Kielce II,Korona Kielce,50000,-
19/20,2019-07-01,Korona U19,Korona Kielce II,50000,-
18/19,2019-02-05,NK Vitez,Korona U19,50000,free transfer
18/19,2018-07-01,NK Vitez U19,NK Vitez,-,-
