season,date,sourceTeam,destTeam,marketValue,price
22/23,2023-01-18,Buriram Utd.,Without Club,900000,-
22/23,2022-06-18,Warta Poznan,Buriram Utd.,900000,free transfer
21/22,2022-02-11,FC Sheriff,Warta Poznan,1200000,free transfer
19/20,2020-01-01,FK Senica,FC Sheriff,350000,?
18/19,2018-07-18,Orsomarso SC,FK Senica,100000,?
17/18,2018-06-30,FK Senica,Orsomarso SC,100000,End of loan
17/18,2018-01-19,Orsomarso SC,FK Senica,-,loan transfer
16/17,2016-07-01,Caracas FC,Orsomarso SC,-,free transfer
