season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-08-01,Lech Poznan,Zulte Waregem,800000,free transfer
19/20,2020-02-06,LKS Lodz,Lech Poznan,800000,500000
18/19,2018-07-01,Stomil Olsztyn,LKS Lodz,50000,free transfer
17/18,2017-08-25,Inter de Madrid,Stomil Olsztyn,-,free transfer
16/17,2016-07-01,Getafe CF B,Inter de Madrid,-,free transfer
15/16,2016-01-05,Valencia B,Getafe CF B,-,free transfer
14/15,2014-08-20,Real Madrid C,Valencia B,-,free transfer
11/12,2011-07-01,Real Madrid U19,Real Madrid C,-,-
10/11,2010-07-01,Real Madrid U17,Real Madrid U19,-,-
08/09,2008-07-01,Leganés U19,Real Madrid U17,-,free transfer
