season,date,sourceTeam,destTeam,marketValue,price
22/23,2023-01-02,Dunajska Streda,Widzew Lodz,550000,?
21/22,2021-07-19,Zorya Lugansk,Dunajska Streda,700000,free transfer
19/20,2020-01-16,RFS,Zorya Lugansk,200000,free transfer
19/20,2019-07-01,SC Cambuur,RFS,200000,free transfer
18/19,2018-07-01,Schalke 04 II,SC Cambuur,-,free transfer
17/18,2017-07-01,B. Leverkusen,Schalke 04 II,-,free transfer
16/17,2017-06-30,Viktoria Köln,B. Leverkusen,50000,End of loan
16/17,2016-07-02,B. Leverkusen,Viktoria Köln,-,loan transfer
16/17,2016-07-01,Leverkusen U19,B. Leverkusen,-,-
13/14,2013-07-01,Skonto II,Leverkusen U19,-,?
12/13,2013-01-01,Skonto Academy,Skonto II,-,-
