season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-08-04,Jagiellonia II,Jagiellonia,-,-
22/23,2022-07-28,Stolem,Jagiellonia II,-,free transfer
21/22,2021-09-13,Without Club,Stolem,100000,-
21/22,2021-07-01,Wisla Plock II,Without Club,100000,-
18/19,2018-07-01,FC Liefering,Wisla Plock,175000,free transfer
15/16,2015-07-01,AKA Salzb. U18,FC Liefering,-,-
14/15,2014-07-01,Jagiellonia U19,AKA Salzb. U18,-,100000
