season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-01,Crystal Palace,Zaglebie Lubin,500000,free transfer
20/21,2021-06-30,Rakow,Crystal Palace,650000,End of loan
20/21,2021-01-09,Crystal Palace,Rakow,525000,loan transfer
20/21,2020-12-31,Fortuna Sittard,Crystal Palace,525000,End of loan
20/21,2020-10-06,Crystal Palace,Fortuna Sittard,525000,loan transfer
19/20,2020-07-31,Rakow,Crystal Palace,525000,End of loan
19/20,2019-08-31,Crystal Palace,Rakow,850000,loan transfer
19/20,2019-08-29,FC Sheriff,Crystal Palace,850000,End of loan
18/19,2019-02-02,Crystal Palace,FC Sheriff,1300000,loan transfer
18/19,2019-01-31,C. Rizespor,Crystal Palace,1300000,End of loan
18/19,2018-07-24,Crystal Palace,C. Rizespor,2000000,loan transfer
17/18,2018-01-23,Zaglebie Lubin,Crystal Palace,2000000,2750000
12/13,2013-03-01,L. Dzierzoniow,Zaglebie Lubin,0,10000
11/12,2012-01-01,Dzierzoniow U19,L. Dzierzoniow,0,0
