season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-01,Gornik Leczna,Stal Mielec,25000,free transfer
19/20,2019-07-05,Stal Mielec,Gornik Leczna,50000,free transfer
17/18,2017-07-14,Gornik Leczna,Stal Mielec,150000,free transfer
15/16,2015-07-01,Korona Kielce,Gornik Leczna,200000,free transfer
14/15,2014-07-08,Without Club,Korona Kielce,600000,0
13/14,2014-01-01,Goverla,Without Club,600000,0
13/14,2013-09-12,Volyn Lutsk,Goverla,600000,free transfer
13/14,2013-07-01,Without Club,Volyn Lutsk,600000,0
12/13,2012-07-01,Volyn Lutsk,Without Club,600000,0
11/12,2012-01-01,SK Tavriya,Volyn Lutsk,500000,0
11/12,2011-12-01,Volyn Lutsk,SK Tavriya,500000,End of loan
11/12,2011-07-01,SK Tavriya,Volyn Lutsk,500000,loan transfer
10/11,2010-07-01,Zakarpattia,SK Tavriya,450000,0
09/10,2009-09-01,Mesquita-RJ,Zakarpattia,50000,free transfer
09/10,2009-07-01,Chern. Burgas,Mesquita-RJ,50000,free transfer
08/09,2008-07-01,Ceará SC,Chern. Burgas,50000,free transfer
07/08,2008-05-01,Nova Iguaçu,Ceará SC,0,free transfer
