season,date,sourceTeam,destTeam,marketValue,price
21/22,2021-07-01,Jagiellonia,Rakow,450000,125000
20/21,2021-06-30,Rakow,Jagiellonia,450000,End of loan
20/21,2021-02-24,Jagiellonia,Rakow,350000,loan transfer
20/21,2021-02-23,HNK Rijeka,Jagiellonia,350000,End of loan
20/21,2020-09-07,Jagiellonia,HNK Rijeka,500000,loan transfer
18/19,2019-01-16,Wisla Kraków,Jagiellonia,500000,free transfer
17/18,2017-07-01,NK Osijek,Wisla Kraków,150000,free transfer
14/15,2015-06-30,NK Sesvete,NK Osijek,0,End of loan
14/15,2014-07-25,NK Osijek,NK Sesvete,0,loan transfer
13/14,2014-06-30,Segesta Sisak,NK Osijek,0,End of loan
13/14,2013-08-09,NK Osijek,Segesta Sisak,0,loan transfer
13/14,2013-07-01,NK Osijek U19,NK Osijek,0,0
12/13,2012-08-10,NK Visnjevac,NK Osijek U19,0,0
11/12,2011-08-19,NK Osijek U17,NK Visnjevac,0,0
09/10,2009-07-01,NK Osijek Yth.,NK Osijek U17,0,0
