season,date,sourceTeam,destTeam,marketValue,price
22/23,2023-06-30,Cerignola,Monopoli,150000,End of loan
22/23,2023-01-31,Monopoli,Cerignola,150000,loan transfer
22/23,2022-08-18,Widzew Lodz,Monopoli,150000,free transfer
21/22,2021-08-28,Astra Giurgiu,Widzew Lodz,450000,free transfer
20/21,2020-10-05,FC Dinamo,Astra Giurgiu,550000,free transfer
18/19,2018-10-03,Bari,FC Dinamo,200000,0
17/18,2018-06-30,AS Livorno,Bari,200000,End of loan
17/18,2017-08-31,Bari,AS Livorno,175000,loan transfer
16/17,2017-06-30,Monopoli,Bari,175000,End of loan
16/17,2017-01-17,Bari,Monopoli,200000,loan transfer
16/17,2017-01-16,Monopoli,Bari,200000,200000
16/17,2016-08-31,Pro Patria,Monopoli,100000,free transfer
15/16,2015-09-15,Without Club,Pro Patria,125000,0
15/16,2015-07-01,Benevento,Without Club,125000,0
14/15,2015-06-30,Arezzo,Benevento,125000,End of loan
14/15,2014-09-15,Benevento,Arezzo,100000,loan transfer
13/14,2014-06-30,Juve Stabia,Benevento,150000,End of loan
13/14,2014-01-28,Benevento,Juve Stabia,150000,loan transfer
13/14,2014-01-27,Cittadella,Benevento,150000,End of loan
13/14,2013-07-05,Benevento,Cittadella,150000,loan transfer
12/13,2013-06-30,Feralpisalò,Benevento,150000,End of loan
12/13,2013-01-23,Benevento,Feralpisalò,150000,loan transfer
12/13,2012-07-01,AS Roma,Benevento,150000,260000
11/12,2012-06-30,Benevento,AS Roma,150000,End of loan
11/12,2011-07-01,Roma U19,Benevento,125000,loan transfer
09/10,2009-07-01,AS Rom Youth,Roma U19,0,0
