season,date,sourceTeam,destTeam,marketValue,price
22/23,2023-01-11,RFS,Lechia Gdansk,350000,0
21/22,2021-06-16,Sturm Graz,RFS,300000,free transfer
19/20,2020-01-30,VfL Osnabrück,Sturm Graz,500000,free transfer
19/20,2019-07-02,Austria Vienna,VfL Osnabrück,800000,free transfer
18/19,2019-06-30,Wolfsberger AC,Austria Vienna,800000,End of loan
18/19,2019-01-12,Austria Vienna,Wolfsberger AC,1000000,loan transfer
17/18,2017-07-01,Benfica B,Austria Vienna,800000,700000
16/17,2017-06-30,Austria Vienna,Benfica B,800000,End of loan
16/17,2016-07-22,Benfica B,Austria Vienna,650000,loan transfer
15/16,2016-06-30,Austria Vienna,Benfica B,650000,End of loan
15/16,2015-07-22,Benfica B,Austria Vienna,400000,loan transfer
14/15,2015-06-30,Lechia Gdansk,Benfica B,400000,End of loan
14/15,2014-08-25,Benfica B,Lechia Gdansk,100000,loan transfer
14/15,2014-07-01,FC Bayern II,Benfica B,100000,free transfer
12/13,2013-01-01,FC Bayern U19,FC Bayern II,0,0
10/11,2010-07-01,AKA Admira U16,FC Bayern U19,0,500000
08/09,2009-04-01,Austria U15,Admira U17,0,free transfer
08/09,2008-07-01,SC Weiz Yth.,Austria U15,0,free transfer
