id,firstName,lastName,dates,marketValue
261155,adam,zrelak,2013-06-11,100000
261155,adam,zrelak,2014-01-05,375000
261155,adam,zrelak,2014-06-21,400000
261155,adam,zrelak,2014-12-24,400000
261155,adam,zrelak,2015-06-08,400000
261155,adam,zrelak,2015-12-13,450000
261155,adam,zrelak,2016-06-27,500000
261155,adam,zrelak,2016-12-18,500000
261155,adam,zrelak,2017-04-14,600000
261155,adam,zrelak,2017-06-09,600000
261155,adam,zrelak,2017-08-20,900000
261155,adam,zrelak,2018-01-21,900000
261155,adam,zrelak,2018-06-18,900000
261155,adam,zrelak,2018-12-17,1000000
261155,adam,zrelak,2019-06-04,1000000
261155,adam,zrelak,2019-12-12,850000
261155,adam,zrelak,2020-04-07,675000
261155,adam,zrelak,2021-02-07,400000
261155,adam,zrelak,2021-05-20,350000
261155,adam,zrelak,2021-10-14,250000
261155,adam,zrelak,2021-12-30,350000
261155,adam,zrelak,2022-04-06,500000
261155,adam,zrelak,2022-06-13,600000
261155,adam,zrelak,2022-09-28,800000
261155,adam,zrelak,2022-11-15,800000
