id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
161314,wojciech,golla,22/23,2022-07-01,Slask Wroclaw,Puskás AFC,650000,400000
161314,wojciech,golla,18/19,2018-07-01,NEC Nijmegen,Slask Wroclaw,800000,free transfer
161314,wojciech,golla,15/16,2015-07-01,Pogon Szczecin,NEC Nijmegen,400000,free transfer
161314,wojciech,golla,11/12,2012-01-01,Lech Poznan,Pogon Szczecin,100000,free transfer
161314,wojciech,golla,10/11,2010-07-01,Lech Poznan II,Lech Poznan,0,0
161314,wojciech,golla,09/10,2009-07-01,Lech U19,Lech Poznan II,0,0
